Basic amount,Estimated Price,Price range,Lower bid rate,Successful bid amount
53338000,48489090,3,87.745,46697977
47729000,43389999,3,87.745,42352592
45534735,41395213,2,87.745,39879900
71548699,65044271,2,87.745,62575931
587224534,533840485,2,87.745,506631115
99394671,90358791,2,87.745,86688300
29376480,26705890,3,87.745,25624690
26902000,24456363,3,87.745,23472520
201597000,183269999,3,87.745,175975610
113586000,103259999,3,87.745,99627864
68719000,62471818,3,87.745,60246220
40000000,36363636,2,87.745,35267000
301158000,273779999,3,87.745,261742550
